reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
pricecatcher:91420e6974b2,,3,Hardtail Scad (Between 4 And 6 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:47
pricecatcher:e4e43a278f37,,3,Snapper Fish Head,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:52
pricecatcher:8b7833759f1c,,3,Small Indo-Pacific Mackerel/Pelaling (Between 10 And 18 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:55
pricecatcher:9193163a9302,,3,Red Snapper Fish Head,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:64
pricecatcher:76cbf009d8d9,,3,Yellow Banded Scad (≥ 11 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:69
pricecatcher:acf67e4cb1ce,,3,Yellow-Tail Scad/Pelata (≤ 7 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:70
pricecatcher:20fbc1b9d115,,3,Catfish (Between 2 And 5 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:88
pricecatcher:faf646d39bdb,,4,Red Chili - Kulai,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:93
pricecatcher:0718c667f095,,4,Red Chili - Minyak,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:94
pricecatcher:594536c9cf2f,,4,Wet Ginger (Mature),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:95
pricecatcher:00a445c01d7e,,4,Okra/Ladies' Finger,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:96
pricecatcher:3255da7c2868,,4,Green/French Beans,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:97
pricecatcher:15d2aa70f490,,4,Long/Asparagus Beans,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:98
pricecatcher:c59060e93b8b,,5,Whole Coconut,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:101
pricecatcher:04b15c1f8abe,,5,Grated Coconut Palm (Regular),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:102
pricecatcher:00846e037e02,,13,Fresh Coconut Milk (Regular),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:103
pricecatcher:41c81da83757,,4,Imported Round Cabbage (China),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:104
pricecatcher:644b7ff32141,,4,Round Cabbage (Local),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:105
pricecatcher:c236b4bd1434,,4,Fresh Turmeric,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:108
pricecatcher:9ca90ea72728,,18,Chicken Eggs Grade A (Weight 65.0 Gm To 69.9 Gm Each),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:118
pricecatcher:70871a6747b5,,18,Chicken Eggs Grade B (Weight 60.0 Gm To 64.9 Gm),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:119
pricecatcher:28ee0ddf9a62,,18,Chicken Eggs Grade C (Weight 55.0 Gm To 59.9 Gm Each),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:120
pricecatcher:1ba592f1976c,,4,Big Yellow/Holland Onion,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:129
pricecatcher:72fbcef1a7b6,,4,Imported Rose Shallots (India),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:131
pricecatcher:b79e2f46d9cd,,4,Imported Shallots (Thailand),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:132
pricecatcher:71855538e8a0,,13,Ayam Brand Sardines (Tomato Sauce),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:191
pricecatcher:65eaf271065a,,13,King Cup Brand Sardines (Tomato Sauce),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:193
pricecatcher:95feacc3812f,,13,Lady's Choice Strawberry Jam,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:201
pricecatcher:8c240e268969,,1,Mainland Chesdale Cheddar Cheese Spread 12 Cheddar,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:203
pricecatcher:684309368745,,13,Daisy Margarine,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:205
pricecatcher:62ce583d2a06,,13,Planta Margarine,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:206
pricecatcher:4ef54e3b4873,,13,Kipas Udang Brand Thick Sweet Soy Sauce,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:214
pricecatcher:bb5d0c2ee91e,,13,Maggi Tomato Sauce,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:217
pricecatcher:c98d575f8e12,,13,Life Chili Sauce,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:218
pricecatcher:39fe707bc671,,7,Drinho Soya (Box),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:221
pricecatcher:f4393b491fbc,,7,Yeo's Lychee (Box),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:226
pricecatcher:756260947dac,,7,Coca Cola (Bottle),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:228
pricecatcher:86d55c380878,,7,F&N Orange (Can),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:229
pricecatcher:f72fb865e3f5,,7,F&N Orange (Bottle),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:230
pricecatcher:4639f123bafb,,7,Mirinda Orange (Bottle),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:232
pricecatcher:eaa4a17c0d1a,,7,Marigold Peel Fresh Orange Juice,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:235
pricecatcher:3d72d55c1209,,7,Red Bull (Bottle),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:239
pricecatcher:c0ae9005eff1,,7,Livita With Honey (Bottle),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:240
pricecatcher:8d658e0dea0a,,13,Mazola Brand Corn Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:246
pricecatcher:b25afd02e3a5,,13,Red Eagle Brand Blended Cooking Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:254
pricecatcher:05a9a2f493e0,,13,Knife Brand Blended Cooking Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:260
pricecatcher:cbe149878187,,13,Buruh Brand Pure Cooking Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:263
pricecatcher:c9bf2d5f51ed,,13,Seri Murni Brand Pure Cooking Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:266
pricecatcher:757a155930a2,,13,Vesawit Brand Pure Cooking Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:267
pricecatcher:71e2c66767d0,,13,Qbb Brand Ghee,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:271
pricecatcher:51071063e9bf,,11,Lactogen 1 Infant Formula (Box),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:299
pricecatcher:b62f288222d8,,11,Lactogen 2 Follow-On Formula (Box),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:300
pricecatcher:e0e121d36bab,,13,Babas Fish Curry Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:350
pricecatcher:4990ecd36bf0,,13,Babas Chili Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:364
pricecatcher:afca91084647,,13,Adabi Mixed (Compound) Turmeric Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:365
pricecatcher:7ca3b3956e61,,14,Peanuts (Imported),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:368
pricecatcher:34d9031e5e9a,,4,Green Bird's Eye Chili,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:716
pricecatcher:300a36eb8f69,,3,Squid (Between 11 And 17 Pcs Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:845
pricecatcher:72653e7b8b60,,3,Flower Crab (≤ 4 Pcs Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:847
pricecatcher:a3a777a5bb9d,,3,Small White Prawn (≥ 61 Pcs Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:849
pricecatcher:5fb1eb5c8689,,3,Tiger Prawn (Between 20 And 30 Pcs Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:850
pricecatcher:9f1fc9eddb5d,,4,Holland Potato,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:861
pricecatcher:612ff7362ad9,,1,F&N Brand Vitamin Sweetened Creamer,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:883
pricecatcher:257948cc6e19,,1,Gold Coin Brand Sweetened Creamer,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:884
pricecatcher:1885941f2c1a,,14,Rambutan Brand Super Rice 5% (Imported),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:904
pricecatcher:6c3ff3688b8a,,14,"Ngp Wheat Flour (Packed, Sauh Brand)",,PriceCatcher item used for public reference-price matching.,1,pricecatcher:917
pricecatcher:88ab4cf7eb20,,13,Cooking Oil Pack (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:918
pricecatcher:dffa078ff0e2,,14,Jati Brand Rice (Sst5%),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:992
pricecatcher:49066d6146c3,,13,Maggi Chili Sauce,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1070
pricecatcher:fb71c2db7f09,,13,Daisy Brand Corn Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1086
pricecatcher:e966264d3250,,13,Vecorn Brand Corn Oil,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1089
pricecatcher:72085ac6dfff,,18,Chicken Eggs Grade A,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1109
pricecatcher:67efa76819d2,,18,Chicken Eggs Grade B,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1110
pricecatcher:29a406d23ab4,,18,Chicken Eggs Grade C,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1111
pricecatcher:7271833e87ed,,4,Green Capsicum,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1128
pricecatcher:944e5c28baf5,,4,Imported Potato (China),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1131
pricecatcher:dcb465f12bc4,,13,Adabi Sweet Soy Sauce,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1135
pricecatcher:af2ae8d29901,,13,Maggi Oyster Sauce,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1138
pricecatcher:64b495b72127,,13,Adabi Brand Sardines (Tomato Sauce With Chili),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1142
pricecatcher:c62d9b296cbe,,13,Lady's Choice Creamy Peanut Butter,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1144
pricecatcher:22cd0d82b7ae,,11,Nestle Cerelac Baby Rice - Can,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1145
pricecatcher:a59a94b6e750,,13,Ayam Brand Coconut Milk,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1151
pricecatcher:76a6de057ab0,,13,Adabi Tom Yam Paste,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1153
pricecatcher:d88f33e3ed8d,,7,100 Plus (Original),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1355
pricecatcher:04637ce6c641,,2,Imported Bone-In Goat/Mutton Leg (Mutton) (Australia),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1367
pricecatcher:7b3af21c1de1,,2,Imported Bone-In Goat/Mutton Leg (Mutton) (New Zealand),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1368
pricecatcher:4094dfb5ee46,,2,Local Bone-In Goat Meat,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1369
pricecatcher:05df77256781,,2,Imported Beef (Topside),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1370
pricecatcher:dde4182d1b0b,,2,Imported Beef (Blade),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1371
pricecatcher:5c06392589cd,,2,Imported Beef (Chuck Tender),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1372
pricecatcher:8cceb8406e17,,2,Imported Beef (Knuckle),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1373
pricecatcher:1832d5453d18,,2,Imported Buffalo Meat (India) * (Silverside),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1375
pricecatcher:d48f8950247e,,2,Imported Buffalo Meat (India) * (Rump),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1376
pricecatcher:0bba5b2388ea,,2,Imported Buffalo Meat (India) * (Blade),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1377
pricecatcher:9f3953eea0d8,,2,Imported Buffalo Meat (India) * (Chuck),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1378
pricecatcher:fb67b9ceb53d,,2,Pork (Lean & Fat),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1380
pricecatcher:41eb23d74b3d,,3,Large White Prawn (Weight Between 41 And 60 Pcs Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1391
pricecatcher:80c76e0b047c,,4,Imported Round Cabbage (Indonesia),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1396
pricecatcher:183f0717e20d,,4,Imported Leek,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1400
pricecatcher:a16071ad85d7,,4,Chinese Long Cabbage - Large,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1412
pricecatcher:1066a6d3c96c,,14,Regular Dhal (India),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1419
pricecatcher:237693a9285c,,14,Malavi Dhal (India),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1420
pricecatcher:3b15ff7a3ace,,14,Dhal (Australia),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1422
pricecatcher:d1765a11fe76,,2,Local Beef (Part 1 Leg Meat (Excluding Tenderloin)),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1431
pricecatcher:6b0745ce3b6d,,2,Local Beef (Part 2 Hard/Lean Meat (Excluding Tenderloin)),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1432
pricecatcher:1417c777d0b1,,3,Kerisi Fish (Threadfin Bream) (Between 5 And 10 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1436
pricecatcher:4718abb1535b,,3,Seabass (Between 2 And 4 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1437
pricecatcher:7e287190f639,,3,Spanish Mackerel - Stick/Whole (Sliced),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1438
pricecatcher:1a4146e0bec2,,4,Imported Big Onion (India),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1440
pricecatcher:78a3ee7e51bc,,4,Imported Big Onion (China),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1441
pricecatcher:365140f5c506,,4,Imported Regular Shallots (India),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1442
pricecatcher:206c86792677,,4,Imported Shallots (China),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1443
pricecatcher:b5477f12c577,,4,Imported Shallots (Myanmar),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1444
pricecatcher:fd30a51d37f9,,14,Faiza Emas Brand Rice (Sst5%),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1445
pricecatcher:0a38c6d87ab3,,4,Imported Round Cabbage (Beijing),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1458
pricecatcher:014b14cdd1ce,,3,White Pomfret (Between 2 And 5 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1475
pricecatcher:bbfbac2e1c80,,3,Indian Mackerel (Between 8 And 12 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1476
pricecatcher:497a15e8ecdb,,3,Mabung Fish (Between 6 And 10 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1477
pricecatcher:4ccc32a70fab,,4,Long Cabbage (Local),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1482
pricecatcher:8942025915b1,,14,Wet Yellow Noodles (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1483
pricecatcher:7023cd87b6b2,,13,Tamarind (Seeded) Assorted Brands,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1489
pricecatcher:288d5296136c,,14,Thai Glutinous Rice (Milk) Assorted Brands,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1491
pricecatcher:3300934971c2,,14,Thai Glutinous Rice (Regular) Assorted Brands,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1492
pricecatcher:846d3984b786,,7,Coca Cola (Can),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1507
pricecatcher:dbdce5b97d28,,11,Heinz Farley Rusks (Assorted Flavors),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1515
pricecatcher:8e3c0173aeab,,11,Heinz Apple Puree,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1517
pricecatcher:ec975f35511b,,13,Adabi Chinese Fried Rice Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1544
pricecatcher:aa016a937e5f,,13,Seri Aji Anchovy Fried Rice Paste,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1545
pricecatcher:2a1467ebb3bc,,7,Pepsi Cola (Can),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1547
pricecatcher:4eeb91262b22,,2,Chicken Leg (Chicken Drumstick),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1550
pricecatcher:187fc6b6f9ba,,2,Chicken Breast (Chicken Keel),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1551
pricecatcher:933125c3443b,,2,Whole Chicken Leg,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1553
pricecatcher:f3d4f2bf3915,,3,Red Snapper (Sliced),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1554
pricecatcher:417dcdd2bc57,,3,White Prawn/Vannamei (Farmed) (Between 41 And 60 Pcs Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1555
pricecatcher:1286d90ee79f,,4,Green Spinach,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1556
pricecatcher:efbf6bf415e4,,4,Green Mustard Greens,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1558
pricecatcher:80a76ceae680,,4,Water Spinach (Kangkung),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1559
pricecatcher:c39e888e4482,,4,Kailan (Chinese Kale),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1560
pricecatcher:670179c0bbf2,,3,Dried Prawn,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1562
pricecatcher:7e524f3c9b8c,,3,Dried Squid (Medium Size),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1563
pricecatcher:73155e408c2f,,4,Imported Garlic (China),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1564
pricecatcher:8bc57f1f2824,,13,Adabi Fish Curry Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1568
pricecatcher:4cc1721c3bfb,,13,Adabi Chicken And Meat Curry Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1570
pricecatcher:04f26433d70e,,13,Babas Meat Curry Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1572
pricecatcher:63b0ddb4dd87,,13,Adabi Soup Spice Powder,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1577
pricecatcher:67c861c2d6e8,,14,Rambutan Brand Rice (Sst5%),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1581
pricecatcher:c227529c8ad7,,14,Jasmine Brand Rice (Sst5%),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1582
pricecatcher:a075efd36dd6,,14,Jati Twr 5% Brand Super Rice (Imported),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1583
pricecatcher:63b42a96fd9b,,14,Local Dried Vermicelli (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1584
pricecatcher:8424dcb2fb75,,14,Imported Dried Vermicelli (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1585
pricecatcher:bd4d7d1b81e8,,15,Soft Brown Sugar (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1588
pricecatcher:46ea6b04fb56,,15,Coarse Filtered White Sugar (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1589
pricecatcher:20ba068a37f4,,15,Fine Filtered White Sugar (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1590
pricecatcher:28a2266bff66,,13,Windmill Gheeblend Brand Ghee,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1603
pricecatcher:4215f7b44447,,13,Adabi Tamarind (Seedless),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1604
pricecatcher:a9a6d20ca9b6,,13,Regular Fine Salt (Assorted Brands),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1605
pricecatcher:0d27790087b0,,13,M&S Brand Coconut Milk,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1610
pricecatcher:2426de0c30ec,,13,Kara Brand Coconut Milk,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1611
pricecatcher:732db0949248,,13,Harmuni Brand Coconut Milk,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1612
pricecatcher:5da86112d395,,12,Star Brand Essence 'Assorted Flavors',,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1613
pricecatcher:abec97d8f2d4,,1,Anchor Butter (Salted),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1615
pricecatcher:412be99eb061,,1,Dutch Lady Instant Milk Powder (Regular),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1619
pricecatcher:1bf2380ab163,,11,Nestle Cerelac Wheat And Honey - Box,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1628
pricecatcher:165008a6dabd,,1,Nestle Coffee-Mate,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1635
pricecatcher:0c9f8fdfe9c7,,7,Yeo's Soya (Box),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1651
pricecatcher:6fe404d5289b,,14,Imported White Rice Sabah Rice Vagas Tokou,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1822
pricecatcher:89207db9cf6e,,14,Tkc Sabah Rice Tqr 5% Brand,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1823
pricecatcher:6977292afb3a,,14,Tkc Super Huma Kelisa Emas Brand Rice (Sabah),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1824
pricecatcher:13c206555cbb,,14,Sazarice Super Anggur Brand Rice (Imported White Rice),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1825
pricecatcher:c3990998df4a,,14,Sazarice Super Roda Brand Rice (Imported White Rice),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1826
pricecatcher:df6b2a184ef0,,14,"Ngp Wheat Flour (Packed, Muhibah Brand)",,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1827
pricecatcher:e36e542b11be,,14,Bao-Bao Golden Sarawak Brand Rice (Super Import),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1832
pricecatcher:52303dd4966b,,14,Uncle Tan Brand Premium Rice (Super Import),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1833
pricecatcher:f1b81e42e6f7,,14,'Blue Key' Brand Self-Rising Flour,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1849
pricecatcher:9d7eb21cef8e,,14,"Ngp Wheat Flour (Packed, Faiza Brand)",,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1870
pricecatcher:1edb63db8749,,13,Lady's Choice Real Mayonnaise,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1872
pricecatcher:604605a1ed36,,7,Seven Up Lemon & Lime (Can),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1879
pricecatcher:988d25abb1cd,,13,Curled Dried Chili (With Stem/Without Stem),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1899
pricecatcher:25b61b91d34c,,13,Flat Dried Chili (With Stem/Without Stem),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1900
pricecatcher:e544ad533495,,11,Dumex Dugro 3 (1-3 Years) (Assorted Flavors),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1904
pricecatcher:b3d5a5fbdd0f,,2,Imported Beef (Block),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1913
pricecatcher:3f16209fef14,,2,Imported Buffalo Meat (India) (Block),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1914
pricecatcher:2619172780f1,,3,Snapper (Sliced),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1915
pricecatcher:9e24be7115cb,,3,Demuduk/Cupak/Cermin Fish (≤ 3 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1916
